measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1993,47.084475507695636,48.88852278090805,45.107643216315964
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1993,47.295504461600466,49.462926984759186,44.8283565152934
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1993,58.96792201257942,60.76100899874297,56.84884739575371
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1993,61.635707036482074,63.87997246854224,59.08819092118435
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2017,64.66784918326002,66.81068290708893,62.24545886567415
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2017,68.45678702010412,71.12609376593285,65.366578968184
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2017,68.22639635339256,70.75289874386868,65.36901046124387
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2017,71.13842963215178,74.16745225645869,67.60956585000552
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2017,57.95226595372923,60.070299604544324,55.57721759464877
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2017,59.838502655502026,62.384403223684565,56.92294575577635
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2017,56.21079207070907,58.38851627072618,53.85782812630161
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2017,57.272547433472496,59.755613627295226,54.47746619432039
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2017,63.58398676995024,65.63006683909526,61.236146146219966
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2017,67.02421061113402,69.53645164337168,64.12312054319577
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2001,60.49634284551162,62.41310516510885,58.35092572764621
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2001,65.18354192247978,67.59752849750136,62.36827719344854
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2001,66.0509555765471,68.29114337826866,63.38549164806186
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2001,69.61254678087937,72.439291029916,66.29830217279982
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2001,52.974903946390846,54.914462371847705,50.82530309130675
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2001,54.38696595147399,56.73063974217893,51.83840189386116
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2001,49.61803905261689,51.498386360799046,47.50876289958395
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2001,49.972881944356956,52.1878150523546,47.45296646903122
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2001,60.581356850400866,62.43096079610366,58.429484272692264
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2001,63.73864642597188,66.02682385327324,61.1086237288697
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1991,59.20396481691925,61.15438032737301,57.08358507090008
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1991,63.3128515719312,65.67187590044011,60.61611931749339
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1991,63.927144837800405,66.05057819902255,61.3729574244421
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1991,68.0876165377531,70.85672790551033,64.78052839496843
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1991,51.576649525091966,53.494559298241185,49.45174373999809
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1991,52.669933174119386,54.99402453988672,50.0851617357095
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1991,46.07993209347936,47.902480588503025,44.07943907280097
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1991,46.49442301339198,48.6481314849759,44.059650183593035
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1991,58.551837414770816,60.34146683865703,56.52534571761246
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1991,61.06298962165546,63.3635936955649,58.48535055655135
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2015,64.1095288866495,66.18725354174072,61.71708681380528
