measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Middle SDI,Male,<1 year,Years,1998,67.39691752753718,67.64155286780672,67.147390133716
Life expectancy,Middle SDI,Female,<1 year,Years,1998,72.47159912873731,72.69765956997641,72.247344042718
Life expectancy,High-middle SDI,Male,<1 year,Years,1994,65.83228871945244,66.03558572423046,65.60596531132177
Life expectancy,High-middle SDI,Female,<1 year,Years,1994,73.0038444009975,73.17726725731583,72.82964667308404
Life expectancy,High SDI,Male,<1 year,Years,1994,73.31672177481093,73.34608767889827,73.28697582602585
Life expectancy,High SDI,Female,<1 year,Years,1994,79.97867486743434,80.00200588376644,79.95368727307796
Life expectancy,Low-middle SDI,Male,<1 year,Years,1994,59.706932020198145,60.132967214092005,59.290326463949185
Life expectancy,Low-middle SDI,Female,<1 year,Years,1994,62.715470162111465,63.09261771418394,62.313457897944964
Life expectancy,Low SDI,Male,<1 year,Years,1994,52.73257548733854,53.2055918472844,52.22149940223007
Life expectancy,Low SDI,Female,<1 year,Years,1994,55.36822312473528,55.872244311848185,54.865772070495304
Life expectancy,High-middle SDI,Male,<1 year,Years,2000,67.8180547281402,68.00841306004148,67.63109757558301
Life expectancy,High-middle SDI,Female,<1 year,Years,2000,74.88512388540421,75.03945441027824,74.72167964347159
Life expectancy,High SDI,Male,<1 year,Years,2000,75.07500988538132,75.09755408083079,75.04932005987834
Life expectancy,High SDI,Female,<1 year,Years,2000,81.10434085075447,81.1263635874372,81.08169712039225
Life expectancy,Low-middle SDI,Male,<1 year,Years,2000,60.376103415946105,60.81314770750482,59.94698263349838
Life expectancy,Low-middle SDI,Female,<1 year,Years,2000,63.53949206725334,63.97346387084815,63.084558044632026
Life expectancy,Low SDI,Male,<1 year,Years,2000,56.41297300011954,56.8320825261909,55.974497840758026
Life expectancy,Low SDI,Female,<1 year,Years,2000,58.35765021717416,58.79433095607585,57.91903557646288
Life expectancy,High-middle SDI,Male,<1 year,Years,2016,72.95247374953041,73.27728429376424,72.62345140355397
Life expectancy,High-middle SDI,Female,<1 year,Years,2016,79.06698619435569,79.32873545450461,78.77462571441134
Life expectancy,High SDI,Male,<1 year,Years,2016,78.41113717484502,78.49880242854952,78.32204631173747
Life expectancy,High SDI,Female,<1 year,Years,2016,83.63933419941125,83.72176718151032,83.55736392973522
Life expectancy,Low-middle SDI,Male,<1 year,Years,2016,65.94295743074895,66.50025393424743,65.35928448329247
Life expectancy,Low-middle SDI,Female,<1 year,Years,2016,69.74686689304687,70.26239212709203,69.19068388590087
Life expectancy,Low SDI,Male,<1 year,Years,2016,64.02682045539264,64.65605494680224,63.36820036658253
Life expectancy,Low SDI,Female,<1 year,Years,2016,66.85255523883049,67.40867708965543,66.29260744900078
Life expectancy,High-middle SDI,Male,<1 year,Years,2003,68.55539157645721,68.73344544837306,68.38155085393974
Life expectancy,High-middle SDI,Female,<1 year,Years,2003,75.48950482680436,75.62134696782961,75.34939404391747
